Name,Rechtsform,Land,PLZ,Ort,Straße,HR Amtsgericht,Register-ID,Status,North Data URL,Tel.,Fax,E-Mail,Website,USt.-Id.,Eintragung,Eintragung Datum,Branche (WZ),Ges. Vertreter 1,Ges. Vertreter 2,Ges. Vertreter 3,Gegenstand,Tickers,Finanzkennzahlen Datum,Stamm-/Grundkapital EUR,Bilanzsumme EUR,Gewinn EUR,Gewinn CAGR %,Umsatz EUR,Umsatz CAGR %,Umsatzrendite %,Eigenkapital EUR,EK-Quote %,EK-Rendite %,Mitarbeiterzahl,Umsatz pro Mitarbeiter EUR,Steuern EUR,Steuer-Quote %,Kassenbestand EUR,Forderungen EUR,Verbindlichkeiten EUR,Materialaufwand EUR,Personalaufwand EUR,Personalaufwand pro Mitarbeiter EUR,Pensionsrückstellungen EUR,Immobilien und Grundstücke EUR,Mktg&Tech Bezugszeitraum,Anzahl Förderungen pro Jahr,Gesamtfördersumme pro Jahr EUR,Patente pro Jahr,Marken pro Jahr
Wohnungsimmobilien 1 eGbR,eGbR,DE,45657.0,Recklinghausen,Beisinger Weg 10,Recklinghausen,GsR 14,aktiv,"https://www.northdata.de/Wohnungsimmobilien%201%20eGbR,%20Recklinghausen/GsR%2014",,,,,,Eintragung,06.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G & W Immobilien eGbR,eGbR,DE,42369.0,Wuppertal,Ferdinand-Lassalle-Str. 84,Wuppertal,GsR 41,aktiv,"https://www.northdata.de/G%20&%20W%20Immobilien%20eGbR,%20Wuppertal/GsR%2041",,,,,,Eintragung,06.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBI Immobilien UG,UG,DE,45966.0,Gladbeck,Winkelstr. 143,Gelsenkirchen,HRB 18146,aktiv,"https://www.northdata.de/OBI%20Immobilien%20UG,%20Gladbeck/Amtsgericht%20Gelsenkirchen%20HRB%2018146",,,,,,Eintragung,07.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Oberthaler, Gerd",,,Maklertätigkeiten.,,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Miriam und Torben Giehler-eGbR,eGbR,DE,32105.0,Bad Salzuflen,Obere Mühlenstr. 1,Lemgo,GsR 12,aktiv,"https://www.northdata.de/Miriam%20und%20Torben%20Giehler-eGbR,%20Bad%20Salzuflen/Amtsgericht%20Lemgo%20GsR%2012",+49 522293090,,,,,Eintragung,07.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIS Investment UG,UG,DE,78048.0,Villingen-Schwenningen,Christel-Pache-Str. 19,Freiburg,HRB 730403,aktiv,"https://www.northdata.de/ARIS%20Investment%20UG,%20Villingen-Schwenningen/Amtsgericht%20Freiburg%20HRB%20730403",,,,,,Eintragung,08.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Burger, Andreas",,,"Gewinnung von Kunden, Vermittlung von Immobilien und Honorarberatung.",,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanaj & Fensch eGbR,eGbR,DE,72661.0,Grafenberg,Gartenstr. 4/3,Stuttgart,GsR 276,aktiv,"https://www.northdata.de/Tanaj%20&%20Fensch%20eGbR,%20Grafenberg/Amtsgericht%20Stuttgart%20GsR%20276",,,,https://www.tanaj-fensch.de,,Eintragung,09.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus Invests Europe UG,UG,DE,14057.0,Berlin,Suarezstr. 3,Charlottenburg (Berlin),HRB 260815 B,aktiv,"https://www.northdata.de/Cyprus%20Invests%20Europe%20UG,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRB%20260815%20B",,,,,,Eintragung,12.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Mutlu, Ural",,,Beratung im Zusammenhang mit Immobilien in Zypern.,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,
Sievering Immobilien eGbR,eGbR,DE,59597.0,Erwitte,Bahnhofstr. 6,Paderborn,GsR 47,aktiv,"https://www.northdata.de/Sievering%20Immobilien%20eGbR,%20Erwitte/Amtsgericht%20Paderborn%20GsR%2047",,,,https://sievering-immobilien.de,,Eintragung,13.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlorinS Investment UG,UG,DE,6420.0,Könnern,Dorfstr. 113,Stendal,HRB 33933,aktiv,"https://www.northdata.de/FlorinS%20Investment%20UG,%20K%C3%B6nnern/Amtsgericht%20Stendal%20HRB%2033933",,,,,,Eintragung,14.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Sticlea, Florin",,,"Der Erwerb, die Verwaltung und die Nutzung von eigenem Grundbesitz, soweit nicht eine Genehmigung erforderlich ist. Die Vermietung von eigenen Immobilien (Wohnungen, Appartements und Gewerbeflächen) unter Nutzung eigener und fremder Online-Plattformen oder üblicher Wege; der Online- und Offline-Handel mit Antiquitäten. Die Gesellschaft wird auch damit zusammenhängende Tätigkeiten wie die Veranstaltung von Flohmärkten und Auktionen und den Betrieb von Online-Shops durchführen; Montagedienstleistungen einschließlich, aber nicht beschränkt auf Möbel, komplette Küchen und Bäder, Fenster und Türen, Wandpaneele und Decken, Einbau von standardisierten, vorgefertigen Baueleementen und zugehörigen Elementen; Wartungs- und Handwerkerdienste; Vertrieb von Produkten und Dienstleistungen als Handelsvertreter. Die Beteiligung an Unternehmen im eigenen Namen, auf eigene Rechnung und nicht als Dienstleistung für Dritte und unter Ausschluss von Tätigkeiten im Sinne des Kreditwesengesetzes.",,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Weber und Hendrik Fröber eGbR,eGbR,DE,24106.0,Kiel,Uferstr. 62,Kiel,GsR 97 KI,aktiv,"https://www.northdata.de/Marcus%20Weber%20und%20Hendrik%20Fr%C3%B6ber%20eGbR,%20Kiel/GsR%2097%20KI",+49 4317807152,+49 43188824777,h.froeber@gmx.de,https://www.mw-immobilien.de,,Eintragung,14.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporalis UG,UG,DE,52379.0,Langerwehe,Am Weiherhof 51,Düren,HRB 9633,aktiv,"https://www.northdata.de/Temporalis%20UG,%20Langerwehe/Amtsgericht%20D%C3%BCren%20HRB%209633",,,,,,Eintragung,15.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Senol, Melek",,,ist die Kurzzeitvermietung von Immobilien an Gewerbetreibende.,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
TF Immobilienberatung UG,UG,DE,65597.0,Hünfelden,Feldbergstr. 11,Limburg a. d. Lahn,HRB 7164,aktiv,"https://www.northdata.de/TF%20Immobilienberatung%20UG,%20H%C3%BCnfelden/Amtsgericht%20Limburg%20a.%20d.%20Lahn%20HRB%207164",,,,,,Eintragung,16.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Fritz, Thomas",,,die technisch-wirtschaftliche Beratung zum strategischen und operativen Immobilienmanagement einschließlich Gebäudeschadenmanagement sowie die Vermittlung von Immobilien aller Art.,,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Eibach & Kominos UG,UG,DE,57439.0,Attendorn,Bergkuhle 16,Siegen,HRB 13763,aktiv,"https://www.northdata.de/Eibach%20&%20Kominos%20UG,%20Attendorn/Amtsgericht%20Siegen%20HRB%2013763",,,,,,Eintragung,19.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Kominos, Petros",,,"Der Erwerb und die Verwaltung eigenen Vermögens, insbesondere von Immobilien.",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
fabb.space UG,UG,DE,22844.0,Norderstedt,Quickborner Str. 38 a,Kiel,HRB 26597 KI,aktiv,"https://www.northdata.de/fabb%C2%B7space%20UG,%20Norderstedt/Amtsgericht%20Kiel%20HRB%2026597%20KI",,,,,,Eintragung,20.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Bauer, Julian","Buchmann, Leif Nader",,"Vermittlung, Entwicklung, Planung, Realisierung und Verwaltung von Immobilien. Ausgenommen sind erlaubnispflichtige Tätigkeiten jeder Art, sofern nicht eine Erlaubnis vorliegt.",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Kappelmeier & Klinger-Rohn Immobilien eGbR,eGbR,DE,86633.0,Neuburg a. d. Donau,Oskar-Wittmann-Str. 10,Ingolstadt,GsR 28,aktiv,"https://www.northdata.de/Kappelmeier%20&%20Klinger-Rohn%20Immobilien%20eGbR,%20Neuburg%20a%C2%B7%20d%C2%B7%20Donau/Amtsgericht%20Ingolstadt%20GsR%2028",+49 84314320177,,info@kappelmeier-immobilien.com,https://kappelmeier-immobilien.com,,Eintragung,26.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schlosser Immobilien Verwaltungs UG,UG,DE,73489.0,Jagstzell,Industriestr. 17-23,Ulm,HRB 747601,aktiv,"https://www.northdata.de/Schlosser%20Immobilien%20Verwaltungs%20UG,%20Jagstzell/Amtsgericht%20Ulm%20HRB%20747601",,,,,,Eintragung,27.02.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schlosser, Josef Michael",,,"Die Übernahme der Geschäftsführung als persönlich haftende Gesellschafterin der Schlosser Immobilien UG (haftungsbeschränkt) & Co. KG mit dem Sitz in Jagstzell (nachfolgend ""Kommanditgesellschaft"" genannt), die Vornahme aller damit im Zusammenhang stehenden Geschäfte sowie die Förderung des Unternehmenszwecks der vorgenannten Kommanditgesellschaft innerhalb ihres Unternehmensgegenstandes, nämlich dem Erwerb, die Veräußerung, die Bebauung, die Verwaltung, die Vermietung und Verpachtung von eigenem Grundbesitz und sonstigen Anlagegütern und Bestandteilen und Zubehör sowie beweglicher Güter.",,,2.500,,,,,,,,,,,,,,,,,,,,,,,,,,
First Class Living eGbR,eGbR,DE,1309.0,Dresden,Loschwitzer Str. 3,Dresden,GsR 127,aktiv,"https://www.northdata.de/First%20Class%20Living%20eGbR,%20Dresden/GsR%20127",+49 3514885811,,info@first-class-living.de,https://www.first-class-living.de,DE277854583,Eintragung,01.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Langner & Burmeister eGbR,eGbR,DE,24306.0,Plön,Rautenbergstr. 41,Kiel,GsR 141 KI,aktiv,"https://www.northdata.de/Langner%20&%20Burmeister%20eGbR,%20Pl%C3%B6n/Amtsgericht%20Kiel%20GsR%20141%20KI",+49 45228080800,+49 45228080820,info@langner-burmeister.de,http://www.sonnenberg-wiesenau.de,DE277553733,Eintragung,04.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girardelli Immobilien & Projektmanagement eGbR,eGbR,DE,78462.0,Konstanz,Theatergasse 4,Freiburg,GsR 196,aktiv,"https://www.northdata.de/Girardelli%20Immobilien%20&%20Projektmanagement%20eGbR,%20Konstanz/Amtsgericht%20Freiburg%20GsR%20196",+49 753155581,+49 753155587,info@girardelli-immobilien.de,https://www.girardelli-immobilien.de,,Eintragung,04.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauc & Riegel Immobilien eGbR,eGbR,DE,97509.0,Kolitzheim,Schweinfurter Weg 37,Schweinfurt,GsR 37,aktiv,"https://www.northdata.de/Lauc%20&%20Riegel%20Immobilien%20eGbR,%20Kolitzheim/Amtsgericht%20Schweinfurt%20GsR%2037",+49 9723931850,+49 9723931852,info@mr-baudenkmal.immobilien,https://www.mr-baudenkmal.immobilien,,Eintragung,06.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursula Kappler Immobilien eGbR,eGbR,DE,75395.0,Ostelsheim,Stuttgarter Str. 20,Stuttgart,GsR 490,aktiv,"https://www.northdata.de/Ursula%20Kappler%20Immobilien%20eGbR,%20Ostelsheim/Amtsgericht%20Stuttgart%20GsR%20490",+49 703342479,+49 703345108,zentral@sm-kappler.de,http://www.sm-kappler.de,,Eintragung,06.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrimeStore Pop-Up UG,UG,DE,70174.0,Stuttgart,Fritz-Elsas-Str. 50,Stuttgart,HRB 793675,aktiv,"https://www.northdata.de/PrimeStore%20Pop-Up%20UG,%20Stuttgart/HRB%20793675",,,,,,Eintragung,06.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Oberdorfer, Michael Herbert",,,"Das Betreiben von Immobiliengeschäften und damit zusammenhängender Geschäfte jedweder Art, insbesondere die Anmietung, die Vermietung und die Untervermietung von gewerblichen Immobilien im weiteren Sinne, insbesondere von Einzelhandelsimmobilien sowie das Erbringen von Dienstleistungen im Zusammenhang mit den vorgenannten Unternehmensgegenständen, selbst oder durch Unternehmen, an denen die Gesellschaft beteiligt ist.",,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
Maklerz UG,UG,DE,44809.0,Bochum,Ortelsburger Str. 84,Bochum,HRB 21426,aktiv,"https://www.northdata.de/Maklerz%20UG,%20Bochum/HRB%2021426",,,,https://maklerz.de,,Eintragung,06.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Dembler, Fabian",,,"Tätigkeit als Immobilienmakler und Immobilienverwalter von eigenen und fremden Immobilien. Insbesondere sind Zweck und Gegenstand der Gesellschaft, die Vermittlung des Abschlusses von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume oder Wohnräume oder der Nachweis einer Gelegenheit zum Abschluss solcher Verträge sowie die entgeltliche Übernahme von Hausverwaltungstätigkeiten in den Bereichen Mietverwaltung, WEG-Verwaltung, Sondereigentumsverwaltung mit entsprechendem infrastrukturellem, technischem und kaufmännischem Gebäudemanagement. Die Gesellschaft ist zu diesem Zweck berechtigt, sämtliche Geschäfte zu betreiben und Maßnahmen zu ergreifen, die zur Erreichung des Gesellschaftszwecks notwendig und nützlich erscheinen. Sie kann gleichartige oder ähnliche Gesellschaften in jeder beliebigen Art und Form errichten, erwerben, sich an solchen beteiligen, deren Vertretung übernehmen sowie Zweigniederlassungen im In- und Ausland errichten und Verträge mit Dritten zum Zweck der Erweiterung der Kapitalbasis schließen.",,,4.000,,,,,,,,,,,,,,,,,,,,,,,,,,
No Limits Consulting & Services UG,UG,DE,22147.0,Hamburg,Hermann-Balk-Str. 116,Hamburg,HRB 185613,aktiv,"https://www.northdata.de/No%20Limits%20Consulting%20&%20Services%20UG,%20Hamburg/HRB%20185613",,,,,,Eintragung,07.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schuchna, Sven",,,Die Vermietung und Verpachtung von Immobilien sowie die Vermittlung und Beratung im Bereich Werbung.,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
JoKo UG,UG,DE,28259.0,Bremen,Leerkämpe 9,Bremen,HRB 40077,aktiv,"https://www.northdata.de/JoKo%20UG,%20Bremen/HRB%2040077",,,,,,Eintragung,07.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Koberg, Jochen",,,"Das Betreiben von Immobiliengeschäften und damit zusammenhängender Geschäfte jedweder Art, insbesondere die Bewirtschaftung, die Vermietung, der Neu- und Umbau, der Erwerb und der Verkauf von gewerblichen Immobilien im weiteren Sinne, insbesondere von Büros, Einzelhandelsimmobilien und Hotels, die Entwicklung von Immobilienprojekten sowie das Erbringen von Dienstleistungen im Zusammenhang mit den vorgenannten Unternehmensgegenständen, selbst oder durch Unternehmen, an denen die Gesellschaft beteiligt ist.",,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
HOBA UG,UG,DE,87727.0,Babenhausen,Kolpingstr. 10,Memmingen,HRB 20980,aktiv,"https://www.northdata.de/HOBA%20UG,%20Babenhausen/Amtsgericht%20Memmingen%20HRB%2020980",,,,,,Eintragung,07.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Buchmann, Roland","Kiebler, Karl Adolf Peter",,"Immobiliengeschäfte, zu denen keine besondere Erlaubnis nach § 34c GewO benötigt wird und damit zusammenhängende Geschäfte jedweder Art, insbesondere Bewirtschaftung, Vermietung, Neu- und Umbau, Erwerb und Verkauf von Immobilien im weiteren Sinne, Entwicklung von Immobilienprojekten sowie das Erbringen von Dienstleistungen im Zusammenhang mit den vorgenannten Unternehmensgegenständen, selbst oder durch Unternehmen, an denen die Gesellschaft beteiligt ist.",,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Villwock & Falk Engelmann eGbR,eGbR,DE,1217.0,Dresden,Münzteichweg 5,Dresden,GsR 138,aktiv,"https://www.northdata.de/Mario%20Villwock%20&%20Falk%20Engelmann%20eGbR,%20Dresden/GsR%20138",+49 3514716681,+49 3514716674,villi.de@t-online.de,http://www.villi.de,,Eintragung,07.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollmann Immobilien eGbR,eGbR,DE,41564.0,Kaarst,Parkstr. 9,Neuss,GsR 39,aktiv,"https://www.northdata.de/Pollmann%20Immobilien%20eGbR,%20Kaarst/Amtsgericht%20Neuss%20GsR%2039",+49 1742455554,,info@pollmann.immo,https://www.pollmannimmobilien.de,,Eintragung,08.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J & J Immobilien Hannover eGbR,eGbR,DE,30853.0,Langenhagen,Imhoffstr. 36 - 42,Hannover,GsR 124,aktiv,"https://www.northdata.de/J%20&%20J%20Immobilien%20Hannover%20eGbR,%20Langenhagen/Amtsgericht%20Hannover%20GsR%20124",+49 5116766666,+49 51167666677,info@rudat-gewerbeimmobilien.de,http://www.jj-gewerbeimmobilien.de,,Eintragung,08.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen & Hansen Immobilien Kontor eGbR,eGbR,DE,22297.0,Hamburg,Alsterdorfer Markt 10,Hamburg,GsR 776,aktiv,"https://www.northdata.de/Hansen%20&%20Hansen%20Immobilien%20Kontor%20eGbR,%20Hamburg/GsR%20776",+49 4071406060,+49 4071406062,info@fhp-immobilien.com,https://fhp-immobilien.com,,Eintragung,08.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombus UG,UG,DE,48155.0,Münster,Adlerhorst 8,Münster,HRB 21638,aktiv,"https://www.northdata.de/Bombus%20UG,%20M%C3%BCnster/HRB%2021638",,,,,,Eintragung,09.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Hummel, Robin Lothar",,,"Gegenstand des Unternehmens ist der Verkauf, der Vertrieb und die Vermittlung von Solaranlagen und Photovoltaikequipment, die Vermietung und Verpachtung von Betriebsstätten, Liegenschaften und Immobilien, der Verkauf, der Vertrieb, die Vermittlung und die Planung von Inneneinrichtungen und Möbeln aller Art sowie Unternehmenscoaching und -beratung.",,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
ImmobilienTeam Dressler & Heringlake eGbR,eGbR,DE,25469.0,Halstenbek,Gärtnerstr. 94,Pinneberg,GsR 134 PI,aktiv,"https://www.northdata.de/ImmobilienTeam%20Dressler%20&%20Heringlake%20eGbR,%20Halstenbek/Amtsgericht%20Pinneberg%20GsR%20134%20PI",+49 41015384450,+49 41015384797,info@dressler-heringlake.de,https://www.dressler-heringlake.de,,Eintragung,11.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Werner & M. Vogelsang Investment eGbR,eGbR,DE,48336.0,Sassenberg,Lessingweg 12,Münster,GsR 82,aktiv,"https://www.northdata.de/R%C2%B7%20Werner%20&%20M%C2%B7%20Vogelsang%20Investment%20eGbR,%20Sassenberg/Amtsgericht%20M%C3%BCnster%20GsR%2082",+49 2588484,,,,,Eintragung,11.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALTER-IMMOBILIEN EAW-BERLIN eGbR,eGbR,DE,86153.0,Augsburg,Böheimstr. 8,Augsburg,GsR 86,erloschen,"https://www.northdata.de/WALTER-IMMOBILIEN%20EAW-BERLIN%20eGbR,%20Augsburg/GsR%2086",,,,,,Eintragung,07.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immobilienfonds Garcia eGbR,eGbR,DE,78234.0,Engen,Gartenstr. 10,Freiburg,GsR 210,aktiv,"https://www.northdata.de/Immobilienfonds%20Garcia%20eGbR,%20Engen/Amtsgericht%20Freiburg%20GsR%20210",,,,,,Eintragung,11.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNYRE UG,UG,DE,90403.0,Nürnberg,Mühlgasse 22,Nürnberg,HRB 42905,aktiv,"https://www.northdata.de/UNYRE%20UG,%20N%C3%BCrnberg/HRB%2042905",,,,,,Eintragung,12.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Winkler, Filip Eduard",,,"Die Vermietung von Versammlungsräumen für Eigentümerversammlungen, Vereinssitzungen, Seminare und Workshops; Vermittlung von Kunden an Immobilienmakler, Versicherungsmakler/-vertreter, Energiemakler/-lieferanten und Lieferanten immobilienwirtschaftlicher Leistungen und Produkte; Beratung von Eigentümern und Betreibern von Immobilien zum Thema ESG (Environmental, Social, Governance). Eine genehmigungspflichtige Beratungstätigkeit (insbesondere in Rechts- oder Steuerangelegenheiten) ist nicht Gegenstand des Unternehmens, ebenso wenig werden Tätigkeiten im Sinne des § 34 c GewO oder nach dem Kreditwesengesetz (KWG), dem Wertpapierinstitutsgesetz (WplG) oder Zahlungsdiensteaufsichtsgesetz (ZAG) ausgeübt.",,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Deutsche Grundbesitzverwaltung DGV UG,UG,DE,41460.0,Neuss,Krefelder Str. 48,Neuss,HRB 23742,aktiv,"https://www.northdata.de/Deutsche%20Grundbesitzverwaltung%20DGV%20UG,%20Neuss/HRB%2023742",,,,,,Eintragung,12.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Kahn, Stephan",,,"Erwerb, Veräußerung, Vermietung, Verpachtung, Vermittlung, Vermarktung. Verwaltung und Finanzierung von eigenen und fremden Immobilien und Grundbesitz aller Art, erlaubnispflichtige Tätigkeiten als lmmobiliardarlehensvermittler nach § 34i GewO, insbesondere die Vermittlung des Abschlusses von lmmobiliardarlehensverträgen im Sinne des § 491 BGB oder entsprechende entgeltliche Finanzierungshilfen im Sinne des § 506 BGB, erlaubnispflichtige Tätigkeiten als Versicherungsvermittler nach § 34d GewO, insbesondere die Vermittlung von Versicherungen als Versicherungsmakler gem. § 34d Abs.1 GewO, erlaubnispflichtige Tätigkeiten als Immobilienmakler, Wohnimmobilienverwalter, Bauträger, Baubetreuer und Darlehensvermittler nach § 34c GewO, insbesondere die Vermittlung des Abschlusses von und der Nachweis der Gelegenheit zum Abschluss von Verträgen über Darlehen, Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume und Immobilien und Grundbesitz aller Art sowie die Verwaltung von Wohnimmobilien und das Erbringen von diesbezüglichen im direkten oder indirekten Bezug stehenden Dienstleistungen, die Ausführung und Vermittlung von zulassungsfreien Handwerken gemäß Anlage B zur Handwerksordnung Abschnitt 1 und handwerksähnlichen Gewerben gemäß Anlage B zur Handwerksordnung Abschnitt 2 sowie die Vermittlung von Aufträgen im zulassungspflichtigen Notdienst- und Handwerksbereich, die Unternehmensberatung mit Ausnahme von Rechts- und Steuerberatung, Tätigkeiten einer Werbeagentur, die Aufstellung, die Betreibung und der Vertrieb von Speise-, Getränke- und Warenautomaten, sowie von Spiel,- Sport- und Unterhaltungsgeräten mit und ohne Gewinnmöglichkeit, der Betrieb von gastronomischen Einrichtungen, der Im- und Export, sowie der Handel mit erlaubnisfreien Waren aller Art. Insbesondere auch der An- und Verkauf, sowie die Vermietung von Kraftfahrzeugen.",,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarbou Immobilien UG,UG,DE,51149.0,Köln,Frankenstr. 4,Köln,HRB 118286,aktiv,"https://www.northdata.de/Jarbou%20Immobilien%20UG,%20K%C3%B6ln/HRB%20118286",,,,,,Eintragung,13.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Jarbou, Ahmad",,,"die Vermittlung, die Vermietung, die Verwaltung und der An- und Verkauf von Immobilien aller Art und Grundstücken.",,,500,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Neubacher und Saleh Saleh eGbR,eGbR,DE,22043.0,Hamburg,Oktaviostr. 85,Hamburg,GsR 828,aktiv,"https://www.northdata.de/Frank%20Neubacher%20und%20Saleh%20Saleh%20eGbR,%20Hamburg/GsR%20828",,,,,,Eintragung,13.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans Nissen und Hans-Uwe Schulz eGbR,eGbR,DE,22846.0,Norderstedt,Bunsengang 22,Kiel,GsR 184 KI,aktiv,"https://www.northdata.de/Hans%20Nissen%20und%20Hans-Uwe%20Schulz%20eGbR,%20Norderstedt/Amtsgericht%20Kiel%20GsR%20184%20KI",+49 4052682471,+49 4052682472,info@nissen-baubetreuung.de,https://www.nissen-baubetreuung.de/home.php,,Eintragung,14.03.2024,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
